분류 (Category)	조사 대상 (Target)	질문 번호 (No.)	질문 (국문)	Question (English)	응답 형태 및 선택지 (Response Format)
Billing & Verification	PMO (Admin)	1	입주민들의 월 관리비 주요 결제 수단은 무엇인가요?	What payment methods do residents use to pay their monthly dues?	선택지 (Cash, GCash, Maya, Credit Card, Check, Bank Transfer, Others)
Billing & Verification	PMO (Admin)	2	1번 결제 수단들의 대략적인 비율은 어떻게 되나요?	What is the approximate percentage ratio of each payment method?	주관식 (%)
Billing & Verification	PMO (Admin)	3	기존에 세대별 빌링 원장을 정리하고 생성하는 방식은 무엇인가요?	How do you generate and organize bills for each unit? (e.g., Excel, ERP, paper)	주관식 (텍스트)
Billing & Verification	PMO (Admin)	4	현재 빌링 처리 프로세스에서 가장 불편한 점이나 병목 현상은 무엇인가요?	What is the biggest pain point in your current billing process?	주관식 (텍스트)
Billing & Verification	PMO (Admin)	5	발행된 청구서를 각 세대에 어떻게 배달하며, 시간과 인력이 얼마나 소요되나요?	How do you deliver issued bills to each unit? How much time and labor does it take?	주관식 (시간/인원수)
Billing & Verification	PMO (Admin)	6	입주민이 청구서를 분실하거나 받지 못했다고 주장하는 경우 어떻게 처리하나요?	What happens if a resident loses their printed bill or claims they never received it?	주관식 (텍스트)
Billing & Verification	PMO (Admin)	7	세대별로 결제가 완료되었다는 사실을 어떤 절차로 대조하고 승인처리 하나요?	How do you verify and confirm that a unit has paid?	주관식 (텍스트)
Billing & Verification	PMO (Admin)	8	100세대 분량의 수납을 확인하는 데 시간이 얼마나 걸리나요? (영수증과 실제 은행 거래 내역 대조 시간)	How long does it take to reconcile and verify payments for 100 units? (slips vs. statement)	주관식 (시간 단위)
Billing & Verification	PMO (Admin)	9	이 콘도의 평균 관리비 연체율은 어느 정도인가요?	What is the average delinquency (overdue) rate of monthly dues in this condo?	주관식 (%)
Billing & Verification	PMO (Admin)	10	연체료 이자 계산은 실무에서 어떻게 처리하며, 연체 세대 독촉 프로세스는 어떻게 되나요?	How do you calculate late payment penalties, and what is your process for collecting overdue accounts?	주관식 (텍스트)
Multi-Unit Portfolio	PMO (Admin)	11	이 콘도 소유주 중 여러 유닛을 동시에 소유한 다중 소유주의 비율은 대략 얼마나 되나요?	What percentage of owners in this condo own multiple units?	주관식 (%)
Multi-Unit Portfolio	PMO (Admin)	12	여러 채를 소유한 집주인들이 빌링 확인이나 유닛별 수리 이슈 업데이트를 받을 때 겪는 주요 불편 사항은 무엇인가요?	How are the common complaints or challenges from multi-unit owners regarding billing and maintenance updates?	주관식 (텍스트)
Security & Gate	Gate Guard	13	게이트에서 방문객을 어떻게 등록하나요? 1인당 소요 시간 및 신원(ID/차량번호) 검증 방법은 무엇인가요?	How do you register visitors at the gate? How long does it take per visitor, and how do you verify them?	주관식 (소요시간/설명)
Security & Gate	Gate Guard	14	사전 등록 없이 방문한 손님이나 배달원이 오면 입주민에게 어떻게 연락하나요?	How do you contact residents when a walk-in visitor or delivery rider arrives without pre-authorization?	선택지 (Lobby Intercom, Call, Viber Message, Others)
Security & Gate	Gate Guard	15	로비 인터폰이 고장 나거나 입주민이 연락을 받지 않는 빈도는 얼마나 되며, 이럴 때 어떻게 대처하나요?	How often do lobby intercoms fail or go unanswered, and how do you handle those situations?	주관식 (빈도/설명)
Parcel & Shift	Gate Guard	16	수령한 택배/우편물은 어떻게 대장에 기록하고 보관하며, 입주민에게 도착 사실을 어떻게 알리나요?	How do you log received parcels? Where are they stored, and how do you notify residents of their arrival?	주관식 (텍스트)
Parcel & Shift	Gate Guard	17	택배 분실이나 오배송으로 인한 마찰이 얼마나 자주 발생하나요? 입주민에게 전달할 때 본인 확인은 어떻게 하나요?	How frequently do disputes arise over lost parcels? How do you verify identity when releasing them?	주관식 (빈도/설명)
Parcel & Shift	Gate Guard	18	출퇴근 기록은 어떤 방식으로 하나요? PMO에서 가드분들의 정확한 근무 시간과 근태를 어떻게 확인하나요?	How do you clock in and out for your shifts? How does the PMO verify your exact duty hours and attendance?	주관식 (텍스트)
Maintenance	Tech / Engineer	19	입주민이 수리(Job Order) 요청을 어떻게 접수하며, 기술자에게 작업이 어떻게 배정되나요?	How do residents request repairs, and how is the task assigned to technicians?	선택지 (Paper Slip, Walkie-talkie, Viber Chat, Others)
Maintenance	Tech / Engineer	20	방문 일정을 입주민과 어떻게 조율하나요? 약속 시간에 집에 사람이 없으면 어떻게 처리하나요?	How do you coordinate the visit schedule with the resident? What if they are not home?	주관식 (텍스트)
Maintenance	Tech / Engineer	21	수리 완료 후 자재비(부품)와 공임비를 입주민에게 어떻게 청구하며, 장부에 종이로 적나요 아니면 디지털로 기록하나요?	How do you invoice the resident for material and labor fees after repair? Is it logged on paper or digitally?	주관식 (Paper / Digital / 설명)
Maintenance	Tech / Engineer	22	PMO 어드민은 이 수리 비용을 다음 달 관리비 청구서에 어떻게 합산하나요? 이 연동 과정에 며칠이 걸리나요?	How does the PMO add these repair costs to the resident's next monthly bill? How long does this sync take?	주관식 (소요 일수/설명)
Maintenance	Tech / Engineer	23	현장 소통을 위해 무전기나 메신저(Viber 등)를 사용하나요? 근무 중 의사소통 시 발생하는 가장 큰 애로사항은 무엇인가요?	Do you use walkie-talkies or chat apps (Viber) for on-site communication? What are the biggest communication barriers?	주관식 (텍스트)
